"strain","meropenem_MIC","meropenem_MIC_clean"
"ERR1415685","≤0.06",0.06
"ERR1415687","≤0.06",0.06
"ERR1415689","≤0.06",0.06
"ERR1415692","≤0.06",0.06
"ERR1415693","2",2
"ERR1415696","1",1
"ERR1415699","0.12",0.12
"ERR1415704","≤0.06",0.06
"ERR1415705","≤0.06",0.06
"ERR1415707","≤0.06",0.06
"ERR1415709","0.12",0.12
"ERR1415710","≤0.06",0.06
"ERR1415711","4",4
"ERR1415713","4",4
"ERR1415714","≤0.06",0.06
"ERR1415715","4",4
"ERR1415717","≤0.06",0.06
"ERR1415718","2",2
"ERR1415721","≤0.06",0.06
"ERR1415723","0.25",0.25
"ERR1415726","4",4
"ERR1415727","0.25",0.25
"ERR1415728","≤0.06",0.06
"ERR1415731","1",1
"ERR1415733","≤0.06",0.06
"ERR1415734","0.12",0.12
"ERR1415735","1",1
"ERR1415737","4",4
"ERR1415739","≤0.06",0.06
"ERR1415740","≤0.06",0.06
"ERR1415741","0.5",0.5
"ERR1415744","≤0.06",0.06
"ERR1415746","≤0.06",0.06
"ERR1415747","4",4
"ERR1415748","≤0.06",0.06
"ERR1415749","≤0.06",0.06
"ERR1415750","≤0.06",0.06
"ERR1415751","16",16
"ERR1415754","≤0.06",0.06
"ERR1415755","0.12",0.12
"ERR1415766","1",1
"ERR1415768",">32",48
"ERR1415769","0.12",0.12
"ERR1415770","≤0.06",0.06
"ERR1415771","≤0.06",0.06
"ERR1415773",">32",48
"ERR1415777","0.25",0.25
"ERR1415780","0.12",0.12
"ERR1415781",">32",48
"ERR1415784","0.25",0.25
"ERR1415786","0.25",0.25
"ERR1415794","0.12",0.12
"ERR1415801","1",1
"ERR1415804","≤0.06",0.06
"ERR1415805","≤0.06",0.06
"ERR1415815","0.25",0.25
"ERR1415820",">32",48
"ERR1415822",">32",48
"ERR1514846","0.12",0.12
"ERR1514848","≤0.06",0.06
"ERR1514849","≤0.06",0.06
"ERR1514851","≤0.06",0.06
"ERR1514854","≤0.06",0.06
"ERR1514858","≤0.06",0.06
"ERR1514859","≤0.06",0.06
"ERR1514860","≤0.06",0.06
"ERR1514862","≤0.06",0.06
"ERR1514864","≤0.06",0.06
"ERR1514865","≤0.06",0.06
"ERR1514866","≤0.06",0.06
"ERR1514867","≤0.06",0.06
"ERR1514870","≤0.06",0.06
"ERR1514872","≤0.06",0.06
"ERR1514873","≤0.06",0.06
"ERR1514874",">32",48
"ERR1514876","≤0.06",0.06
"ERR1514884","4",4
"ERR1514886","≤0.06",0.06
"ERR1514887","8",8
"ERR1514890","2",2
"ERR1514892","32",32
"ERR1514893","32",32
"ERR1514895","32",32
"ERR1514896","16",16
"ERR1514897","≤0.06",0.06
"ERR1514899","4",4
"ERR1514901","0.25",0.25
"ERR1514902","4",4
"ERR1514903","16",16
"ERR1514904","16",16
"ERR1514905",">32",48
"ERR1514906","≤0.06",0.06
"ERR1514909","2",2
"ERR1514914","32",32
"ERR1514919",">32",48
"ERR1514920","2",2
"ERR1514921","2",2
"ERR1514923","≤0.06",0.06
"ERR1514925","0.25",0.25
"ERR1514928","≤0.06",0.06
"ERR1514929","≤0.06",0.06
"ERR1514934","0.25",0.25
"ERR1514937","1",1
"ERR1514939","≤0.06",0.06
"ERR1514940","≤0.06",0.06
"ERR1514950","32",32
"ERR1514951","2",2
"ERR1514952","≤0.06",0.06
"ERR1514955","≤0.06",0.06
"ERR1514959","8",8
"ERR1514960","≤0.06",0.06
"ERR1514961","32",32
"ERR1514964","0.5",0.5
"ERR1514971","≤0.06",0.06
"ERR1514973","2",2
"ERR1514981","≤0.06",0.06
"ERR1514982","≤0.06",0.06
"ERR1514984","≤0.06",0.06
"ERR1514985","0.12",0.12
"ERR1514987","≤0.06",0.06
